date,nuts3,cases,new_cases,new_cases_ma
2020-04-28,ITH32,2596.0,25.0,36.214285714285715
2020-04-28,ITH33,1061.0,1.0,25.928571428571427
2020-04-28,ITH34,2483.0,7.0,32.214285714285715
2020-04-28,ITH35,2418.0,52.0,29.285714285714285
2020-04-28,ITH36,3836.0,9.0,30.642857142857142
2020-04-28,ITH37,424.0,2.0,9.785714285714286
2020-04-29,ITH31,4627.0,71.0,69.85714285714286
2020-04-29,ITH32,2616.0,20.0,34.285714285714285
2020-04-29,ITH33,1084.0,23.0,25.785714285714285
2020-04-29,ITH34,2487.0,4.0,32.42857142857143
2020-04-29,ITH35,2425.0,7.0,29.428571428571427
2020-04-29,ITH36,3836.0,0.0,27.571428571428573
2020-04-29,ITH37,426.0,2.0,9.642857142857142
2020-04-30,ITH31,4666.0,39.0,66.85714285714286
2020-04-30,ITH32,2644.0,28.0,33.857142857142854
2020-04-30,ITH33,1107.0,23.0,25.142857142857142
2020-04-30,ITH34,2511.0,24.0,26.857142857142858
2020-04-30,ITH35,2438.0,13.0,28.714285714285715
2020-04-30,ITH36,3851.0,15.0,22.428571428571427
2020-04-30,ITH37,427.0,1.0,9.285714285714286
2020-05-01,ITH31,4709.0,43.0,64.57142857142857
2020-05-01,ITH32,2680.0,36.0,34.285714285714285
2020-05-01,ITH33,1111.0,4.0,21.714285714285715
2020-05-01,ITH34,2518.0,7.0,20.071428571428573
2020-05-01,ITH35,2471.0,33.0,26.785714285714285
2020-05-01,ITH36,3862.0,11.0,19.357142857142858
2020-05-01,ITH37,430.0,3.0,9.214285714285714
2020-05-02,ITH31,4771.0,62.0,63.642857142857146
2020-05-02,ITH32,2701.0,21.0,28.928571428571427
2020-05-02,ITH33,1124.0,13.0,20.642857142857142
2020-05-02,ITH34,2539.0,21.0,17.071428571428573
2020-05-02,ITH35,2487.0,16.0,26.5
2020-05-02,ITH36,3867.0,5.0,16.714285714285715
2020-05-02,ITH37,430.0,0.0,8.857142857142858
2020-05-03,ITH31,4800.0,29.0,59.0
2020-05-03,ITH32,2713.0,12.0,26.714285714285715
2020-05-03,ITH33,1129.0,5.0,19.5
2020-05-03,ITH34,2551.0,12.0,16.857142857142858
2020-05-03,ITH35,2502.0,15.0,25.642857142857142
2020-05-03,ITH36,3867.0,0.0,14.285714285714286
2020-05-03,ITH37,431.0,1.0,8.928571428571429
2020-05-04,ITH31,4821.0,21.0,58.785714285714285
2020-05-04,ITH32,2719.0,6.0,24.285714285714285
2020-05-04,ITH33,1135.0,6.0,16.5
2020-05-04,ITH34,2557.0,6.0,16.571428571428573
2020-05-04,ITH35,2513.0,11.0,24.0
2020-05-04,ITH36,3871.0,4.0,12.714285714285714
2020-05-04,ITH37,430.0,-1.0,8.785714285714286
2020-05-05,ITH31,4831.0,10.0,54.357142857142854
2020-05-05,ITH32,2722.0,3.0,23.714285714285715
2020-05-05,ITH33,1140.0,5.0,12.357142857142858
2020-05-05,ITH34,2560.0,3.0,14.928571428571429
2020-05-05,ITH35,2519.0,6.0,23.428571428571427
2020-05-05,ITH36,3876.0,5.0,11.071428571428571
2020-05-05,ITH37,429.0,-1.0,4.285714285714286
2020-05-06,ITH31,4860.0,29.0,49.714285714285715
2020-05-06,ITH32,2732.0,10.0,21.357142857142858
2020-05-06,ITH33,1141.0,1.0,11.571428571428571
2020-05-06,ITH34,2563.0,3.0,12.642857142857142
2020-05-06,ITH35,2550.0,31.0,19.357142857142858
2020-05-06,ITH36,3879.0,3.0,9.142857142857142
2020-05-06,ITH37,430.0,1.0,2.142857142857143
2020-05-07,ITH31,4897.0,37.0,48.214285714285715
